Test,Run,Goal,Name,File,Number of Procs,realTimeON,expElementType,holdPierON,h_water,gmDir,gmVelFile,gmStartTime,DT_FACTOR,gmScaleFactor,soilProfile,soilEleType,soilConstitutive,soilMesh,DOFs,eqIntegrator,prePartitionSystem,postPartitionSystem,constraintsHandler,rayleighT1,rayleighT2,rayleighXi1,rayleighXi2,rayleighOffFac,rayleighStiff,rayleighSoilON,rayleighBoundON,rayleighSprPileON,rayleighSprCapFaceON,rayleighSprSoffitON,rayleighPilesON,rayleighCapON,rayleighDeckON,rayleighPierON,rayleighPierHingeON,DateTime,DumpFolder,MatFile,LabTrial,Note
F24,-14,Elastic soil,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Elastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:44,r-14_20260821_1544_Storm_Wave,0821_GusBridge_rowNeg14_8Core.mat,24,Trial24; np=8; 1 slowdown @ 10 s
F26,-2,MP CPU integrator+solver Mumps,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,Mumps,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:01,r-02_20260821_1601_Storm_Wave,0821_GusBridge_rowNeg2_8Core.mat,26,Trial26; np=8; ~10 slowdowns
Fx04,-4,MP CUDA integrator+solver,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:15,r-04_20260821_1615_Storm_Wave,,,incomplete -04 (~194 s OS) between Trial 26 and 27; no mat
Fx05,-16,twoNodeLink no hold,EQ then wave,RunParallel.tcl,8,1,twoNodeLink,0,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:22,r-16_20260821_1622_Storm_Wave,,,-16 twoNodeLink; matches 1639 early; no full-length mat (~156 s OS)
F27,-4,MP CUDA integrator+solver,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:25,r-04_20260821_1625_Storm_Wave,0821_GusBridge_rowNeg4_8Core_P1.mat,27,Trial27; np=8 P1; 1 slowdown
F28,-16,twoNodeLink no hold,EQ then wave,RunParallel.tcl,8,1,twoNodeLink,0,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:39,r-16_20260821_1639_Storm_Wave,0821_GusBridge_rowNeg16_8Core_P1.mat,28,Trial28; CudaMKRAlpha 0.5; incomplete (~109 s OS)
F29,-16,twoNodeLink no hold,EQ then wave,RunParallel.tcl,8,1,twoNodeLink,0,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.0 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:44,r-16_20260821_1644_Storm_Wave,0821_GusBridge_rowNeg16_8Core_P1_alpha0.mat,29,Trial29; CudaMKRAlpha 0.0 (rhoInf); duplicate dry save in mat_orphans
F30,-17,2 percent Rayleigh,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.02,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 16:49,r-17_20260821_1649_Storm_Wave,0821_GusBridge_rowNeg17_8Core_P1.mat,30,Trial30; np=8 P1; no slowdown in D5-95
Fd01,-8,Dry,Dry (no actuator),RunParallel.tcl,16,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,1 (MODERATE),3216,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg8_16Core.mat,,dry; np=16 comm sweep
Fd02,-9,Dry,Dry (no actuator),RunParallel.tcl,18,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),4620,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg9_18Core.mat,,dry; np=18 sweep
Fd03,-9,Dry,Dry (no actuator),RunParallel.tcl,19,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),4620,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg9_19Core.mat,,dry; np=19 sweep
Fd04,-9,Dry,Dry (no actuator),RunParallel.tcl,22,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),4620,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg9_22Core.mat,,dry; np=22 sweep
Fd05,-10,Dry,Dry (no actuator),RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),5484,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg10_20Core.mat,,dry; np=20 sweep
Fd06,-10,Dry,Dry (no actuator),RunParallel.tcl,22,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),5484,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg10_22Core.mat,,dry; np=22 sweep
Fd07,-10,Dry,Dry (no actuator),RunParallel.tcl,24,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),5484,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,,,0821_GusBridge_rowNeg10_24Core.mat,,dry; np=24 sweep; wet uses _duplicate
